"","annoh","corp","codcirc","coddepto","codmpio","nommun","nomdepto","codparti","nomparti","eleccion","votos","censo","color","partido"
"1",2022,12,0,1,"05001","Medellín","Antioquia",1234,"COALICION EQUIPO POR COLOMBIA","Presidencia 1era vuelta",603374,12414,"#871953","COALICION EQUIPO POR COLOMBIA"
"2",2022,12,0,1,"05001","Medellín","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 1era vuelta",275780,12414,"#1b3383","COALICION PACTO HISTORICO"
"3",2022,12,0,1,"05001","Medellín","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 1era vuelta",141337,12414,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"4",2022,12,0,1,"05001","Medellín","Antioquia",1233,"COALICION CENTRO ESPERANZA","Presidencia 1era vuelta",69394,12414,"#dddddd","OTROS"
"5",2022,12,0,1,"05001","Medellín","Antioquia",996,"VOTOS EN BLANCO","Presidencia 1era vuelta",23355,12414,"#dddddd","OTROS"
"6",2022,12,0,1,"05001","Medellín","Antioquia",997,"VOTOS NULOS","Presidencia 1era vuelta",12199,12414,"#808080","VOTOS NULOS"
"7",2022,12,0,1,"05001","Medellín","Antioquia",14,"COLOMBIA JUSTA LIBRES","Presidencia 1era vuelta",7770,12414,"#A97C20","COLOMBIA JUSTA LIBRES"
"8",2022,12,0,1,"05001","Medellín","Antioquia",302,"PARTIDO MOVIMIENTO DE SALVACION NACIONAL","Presidencia 1era vuelta",2568,12414,"#dddddd","OTROS"
"9",2022,12,0,1,"05001","Medellín","Antioquia",527,"COLOMBIA PIENSA EN GRANDE","Presidencia 1era vuelta",1099,12414,"#dddddd","OTROS"
"10",2022,12,0,1,"05001","Medellín","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 1era vuelta",850,12414,"#dddddd","OTROS"
"11",2022,12,0,1,"05001","Medellín","Antioquia",304,"PARTIDO VERDE OXIGENO","Presidencia 1era vuelta",572,12414,"#dddddd","OTROS"
"12",2022,12,0,1,"05002","Abejorral","Antioquia",1234,"COALICION EQUIPO POR COLOMBIA","Presidencia 1era vuelta",4942,13104,"#871953","COALICION EQUIPO POR COLOMBIA"
"13",2022,12,0,1,"05002","Abejorral","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 1era vuelta",1112,13104,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"14",2022,12,0,1,"05002","Abejorral","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 1era vuelta",685,13104,"#1b3383","COALICION PACTO HISTORICO"
"15",2022,12,0,1,"05002","Abejorral","Antioquia",1233,"COALICION CENTRO ESPERANZA","Presidencia 1era vuelta",358,13104,"#dddddd","OTROS"
"16",2022,12,0,1,"05002","Abejorral","Antioquia",996,"VOTOS EN BLANCO","Presidencia 1era vuelta",113,13104,"#dddddd","OTROS"
"17",2022,12,0,1,"05002","Abejorral","Antioquia",997,"VOTOS NULOS","Presidencia 1era vuelta",89,13104,"#808080","VOTOS NULOS"
"18",2022,12,0,1,"05002","Abejorral","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 1era vuelta",42,13104,"#dddddd","OTROS"
"19",2022,12,0,1,"05002","Abejorral","Antioquia",14,"COLOMBIA JUSTA LIBRES","Presidencia 1era vuelta",36,13104,"#A97C20","COLOMBIA JUSTA LIBRES"
