Código Departamento,Departamento,Código Municipio,Municipio,Comuna,Zona,Código Puesto,Puesto,Censo Mujeres,Censo Hombres,Voto por candidato o lista,Voto blanco,Voto total,Voto nulo,Voto no marcado,Total abstenciones,Total censo
1,ANTIOQUIA,1001,MEDELLIN,SIN COMUNA,100190,01001009001,ESTADIO ATANASIO GIRARDOT,55116,21,17640,313,18110,142,15,37027,55137
1,ANTIOQUIA,1001,MEDELLIN,SIN COMUNA,100190,01001009002,PLAZA MAYOR CTRO EXPOS. CONVEN,9,53082,16751,327,17304,212,14,35787,53091
1,ANTIOQUIA,1001,MEDELLIN,SIN COMUNA,100198,01001009801,RECLU. DE MUJERES PEDREGAL ME,57,161,74,1,77,2,0,141,218
1,ANTIOQUIA,1001,MEDELLIN,SIN COMUNA,100198,01001009802,ESTAB. CARCELARIO PEDREGAL ME,168,17,65,1,66,0,0,119,185
1,ANTIOQUIA,1001,MEDELLIN,SIN COMUNA,100198,01001009803,CENTRO CARLOS LLERAS RESTREPO,256,67,139,7,150,3,1,173,323
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100101,01001010101,SEC. ESC. LA ESPERANZA NO 2,7439,4975,4104,130,4343,103,6,8071,12414
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100101,01001010102,INST.EDUC. LA CANDELARIA,6750,10595,7052,252,7516,190,22,9829,17345
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100101,01001010103,INST.EDUC.MARIA DE LOS A.,3392,4140,3934,83,4133,110,6,3399,7532
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100101,01001010104,SEC. ESC. MEDELLIN,3716,4655,4438,117,4663,100,8,3708,8371
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100101,01001010105,I.E.FE Y ALEGRIA GRANIZAL,1400,1567,1304,38,1369,26,1,1598,2967
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100101,01001010106,IE LA AVANZADA,449,664,443,25,485,16,1,628,1113
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100101,01001010107,SEC. ESC. CARPINELO AMAPOLITA,356,467,426,10,444,8,0,379,823
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100101,01001010108,IE ANTONIO DERKA,1548,1824,1442,41,1527,42,2,1845,3372
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100102,01001010201,SEC.ESC. PABLO VI,17562,5547,6838,211,7239,174,16,15870,23109
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100102,01001010202,SEC. ESC. DIVINA PROVIDENCIA,2719,9031,4306,121,4541,108,6,7209,11750
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100102,01001010203,SEC.ESC.AGRIPINA MONTES DEL VA,3388,5237,4528,83,4719,99,9,3906,8625
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100102,01001010204,I.E.FEDERICO CARRASQUILLA,1288,1641,1526,52,1615,35,2,1314,2929
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100102,01001010205,I.E.GUADALUPE,2042,5985,3119,102,3280,58,1,4747,8027
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 2 SANTA CRUZ,100103,01001020301,INST. EDUC. ASIA IGNACIANA,6817,7480,7907,189,8269,157,16,6028,14297
