Código Departamento,Departamento,Código Municipio,Municipio,Comuna,Zona,Puesto,Corporacion,Circunscripcion,Partido,Código Candidato,Nombre Candidato,Votos
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009001,PRESIDENTE,NACIONAL,COLOMBIA JUSTA LIBRES,2,JOHN MILTON RODRÍGUEZ,94
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009001,PRESIDENTE,NACIONAL,PARTIDO MOVIMIENTO DE SALVACIÓN NACIONAL,5,ENRIQUE GÓMEZ MARTÍNEZ,39
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009001,PRESIDENTE,NACIONAL,PARTIDO VERDE OXÍGENO,8,INGRID BETANCOURT,8
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009001,PRESIDENTE,NACIONAL,COLOMBIA PIENSA EN GRANDE,7,LUIS PÉREZ,17
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009001,PRESIDENTE,NACIONAL,VOTOS EN BLANCO,996,N/A,313
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009001,PRESIDENTE,NACIONAL,VOTOS NULOS,997,N/A,142
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009001,PRESIDENTE,NACIONAL,VOTOS NO MARCADOS,998,N/A,15
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009001,PRESIDENTE,NACIONAL,LIGA DE GOBERNANTES ANTICORRUPCIÓN,1,RODOLFO HERNÁNDEZ,2559
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009001,PRESIDENTE,NACIONAL,COALICIÓN CENTRO ESPERANZA,4,SERGIO FAJARDO,978
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009001,PRESIDENTE,NACIONAL,COALICIÓN EQUIPO POR COLOMBIA,3,FEDERICO GUTIÉRREZ,10477
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009001,PRESIDENTE,NACIONAL,COALICIÓN PACTO HISTÓRICO,6,GUSTAVO PETRO,3468
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009002,PRESIDENTE,NACIONAL,COLOMBIA JUSTA LIBRES,2,JOHN MILTON RODRÍGUEZ,180
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009002,PRESIDENTE,NACIONAL,PARTIDO MOVIMIENTO DE SALVACIÓN NACIONAL,5,ENRIQUE GÓMEZ MARTÍNEZ,35
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009002,PRESIDENTE,NACIONAL,PARTIDO VERDE OXÍGENO,8,INGRID BETANCOURT,12
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009002,PRESIDENTE,NACIONAL,COLOMBIA PIENSA EN GRANDE,7,LUIS PÉREZ,31
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009002,PRESIDENTE,NACIONAL,VOTOS EN BLANCO,996,N/A,327
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009002,PRESIDENTE,NACIONAL,VOTOS NULOS,997,N/A,212
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009002,PRESIDENTE,NACIONAL,VOTOS NO MARCADOS,998,N/A,14
