codigo_municipio,year,round,left_share,right_share,abstention_rate,delta_left,delta_right,delta_abstention
05001,2002,1,0.1044134757282997,0.7202332938067111,,,,
05001,2006,1,0.17808017641389823,0.7371082469199476,,0.07366670068559852,0.0168749531132365,
05001,2010,1,0.038853585084424595,0.4121205968937164,,-0.13922659132947363,-0.3249876500262312,
05001,2010,2,,0.6662180228084099,,,,
05001,2014,1,,0.38761461338512954,,,-0.024505983508586848,
05001,2014,2,,0.6065223390382607,,,-0.05969568377014922,
05001,2018,1,0.07631317842353234,0.5300036242001509,,,0.14238901081502137,
05001,2018,2,0.21204143570807105,0.7133046447696814,,,0.10678230573142067,
05001,2022,1,0.24227399152067386,0.5300668190579269,,0.1659608130971415,6.319485777595002e-05,
05001,2022,2,0.3336487771385023,0.6178330897855522,,0.12160734143043123,-0.09547155498412918,
05002,2002,1,0.23514322359982898,0.5823001282599402,,,,
05002,2006,1,0.05963731538605347,0.8498784819592448,,-0.1755059082137755,0.2675783536993046,
05002,2010,1,0.009966777408637873,0.8069925644676476,,-0.049670537977415594,-0.0428859174915972,
05002,2010,2,,0.923028589381087,,,,
05002,2014,1,,0.6262145958238577,,,-0.1807779686437898,
05002,2014,2,,0.7644598297995095,,,-0.15856875958157746,
05002,2018,1,0.027955028866605895,0.6958371315709511,,,0.06962253574709332,
05002,2018,2,0.07394889820197377,0.8884682979586319,,,0.12400846815912236,
05002,2022,1,0.09244264507422402,0.6669365721997301,,0.06448761620761813,-0.028900559371220935,
05002,2022,2,0.13234344738540993,0.8395093608779858,,0.05839454918343616,-0.04895893708064614,
05004,2002,1,0.10966810966810966,0.5512265512265512,,,,
05004,2006,1,0.11543810848400557,0.7955493741307371,,0.005769998815895905,0.24432282290418594,
05004,2010,1,0.012239902080783354,0.7233782129742962,,-0.10319820640322222,-0.07217116115644095,
05004,2010,2,,0.8675417661097852,,,,
05004,2014,1,,0.4076163610719323,,,-0.3157618519023639,
05004,2014,2,,0.5874285714285714,,,-0.28011319468121376,
05004,2018,1,0.011066398390342052,0.8329979879275654,,,0.42538162685563313,
05004,2018,2,0.04071969696969697,0.9232954545454546,,,0.3358668831168832,
05004,2022,1,0.05668016194331984,0.7044534412955465,,0.04561376355297779,-0.12854454663201886,
05004,2022,2,0.08792184724689166,0.8792184724689165,,0.04720215027719469,-0.044076982076538096,
05021,2002,1,0.06952789699570816,0.5184549356223176,,,,
05021,2006,1,0.06513157894736842,0.8565789473684211,,-0.004396318048339745,0.3381240117461035,
05021,2010,1,0.0070999453850355,0.5996723102129984,,-0.058031633562332915,-0.2569066371554227,
05021,2010,2,,0.8693244739756367,,,,
05021,2014,1,,0.29186046511627906,,,-0.3078118450967193,
05021,2014,2,,0.43472348141432454,,,-0.4346009925613122,
05021,2018,1,0.032682705401724924,0.6867907399001362,,,0.3949302747838571,
05021,2018,2,0.09218950064020487,0.861288945795988,,,0.4265654643816635,
05021,2022,1,0.11505922165820642,0.6349407783417935,,0.0823765162564815,-0.05184996155834265,
05021,2022,2,0.1629418935392117,0.806989028850061,,0.07075239289900684,-0.05429991694592706,
05030,2002,1,0.267407691324901,0.4946978408074614,,,,
05030,2006,1,0.21933579335793357,0.650479704797048,,-0.048071897966967425,0.1557818639895866,
05030,2010,1,0.022431427243142725,0.45502092050209203,,-0.19690436611479084,-0.19545878429495595,
05030,2010,2,,0.7436519076177108,,,,
05030,2014,1,,0.3313593539703903,,,-0.12366156653170174,
05030,2014,2,,0.5137053620181282,,,-0.2299465455995826,
05030,2018,1,0.05717017208413002,0.5229445506692161,,,0.1915851966988258,
05030,2018,2,0.1586238958623896,0.7616922361692237,,,0.24798687415109544,
05030,2022,1,0.19381162869772187,0.4149098945936756,,0.13664145661359184,-0.10803465607554047,
05030,2022,2,0.27444081427494343,0.678646226019938,,0.11581691841255384,-0.0830460101492857,
05031,2002,1,0.21575061525840852,0.5192780968006563,,,,
05031,2006,1,0.11141983884412336,0.7735482078355098,,-0.10433077641428516,0.25427011103485353,
05031,2010,1,0.012618296529968454,0.5757097791798107,,-0.0988015423141549,-0.19783842865569912,
05031,2010,2,,0.780121276034801,,,,
05031,2014,1,,0.436088295687885,,,-0.1396214834919257,
05031,2014,2,,0.7164812942366027,,,-0.0636399817981983,
05031,2018,1,0.043147627707059016,0.5544718135228963,,,0.11838351783501133,
05031,2018,2,0.118861432593056,0.8073193619017829,,,0.09083806766518021,
05031,2022,1,0.14394430051813473,0.4258419689119171,,0.10079667281107571,-0.1286298446109792,
05031,2022,2,0.20513581712928602,0.7463262579783286,,0.08627438453623003,-0.06099310392345425,
05034,2002,1,0.10360980986497657,0.68751722237531,,,,
