codigo_municipio,year,round,candidate,votes,total_votes,registered_voters,vote_share
05001,2002,1,BEDOYA,1561,538034,,0.0029013036350862
05001,2002,1,CARDONA,163,538034,,0.0003029548318507
05001,2002,1,CRISTANCHO,303,538034,,0.0005631614358943
05001,2002,1,LORA,231,538034,,0.0004293408966719
05001,2002,1,RINCON,312,538034,,0.0005798890032971
05001,2002,1,TARJETAS NO MARCADAS,1545,538034,,0.0028715657374812
05001,2002,1,TOVAR,312,538034,,0.0005798890032971
05001,2002,1,VOTOS EN BLANCO,9986,538034,,0.0185601653427106
05001,2002,1,VOTOS NULOS,6103,538034,,0.0113431493177011
05001,2002,1,alvaro_uribe,387510,538034,,0.7202332938067111
05001,2002,1,horacio_serpa,56178,538034,,0.1044134757282997
05001,2002,1,ingrid_betancourt,2467,538034,,0.0045852120869684
05001,2002,1,luis_eduardo_garzon,29215,538034,,0.0542995424081006
05001,2002,1,noemi_sanin,42148,538034,,0.0783370567659293
05002,2002,1,BEDOYA,19,4678,,0.0040615647712697
05002,2002,1,CARDONA,6,4678,,0.0012825994014536
05002,2002,1,CRISTANCHO,7,4678,,0.0014963659683625
05002,2002,1,LORA,7,4678,,0.0014963659683625
05002,2002,1,RINCON,2,4678,,0.0004275331338178
05002,2002,1,TARJETAS NO MARCADAS,58,4678,,0.0123984608807182
05002,2002,1,TOVAR,20,4678,,0.0042753313381787
05002,2002,1,VOTOS EN BLANCO,72,4678,,0.0153911928174433
05002,2002,1,VOTOS NULOS,78,4678,,0.0166737922188969
05002,2002,1,alvaro_uribe,2724,4678,,0.5823001282599402
05002,2002,1,horacio_serpa,1100,4678,,0.2351432235998289
05002,2002,1,ingrid_betancourt,22,4678,,0.0047028644719965
05002,2002,1,luis_eduardo_garzon,155,4678,,0.0331338178708849
05002,2002,1,noemi_sanin,408,4678,,0.0872167592988456
05004,2002,1,BEDOYA,3,693,,0.0043290043290043
05004,2002,1,CARDONA,5,693,,0.0072150072150072
05004,2002,1,TARJETAS NO MARCADAS,18,693,,0.0259740259740259
05004,2002,1,TOVAR,7,693,,0.0101010101010101
05004,2002,1,VOTOS EN BLANCO,4,693,,0.0057720057720057
05004,2002,1,VOTOS NULOS,16,693,,0.023088023088023
05004,2002,1,alvaro_uribe,382,693,,0.5512265512265512
05004,2002,1,horacio_serpa,76,693,,0.1096681096681096
05004,2002,1,ingrid_betancourt,3,693,,0.0043290043290043
05004,2002,1,luis_eduardo_garzon,21,693,,0.0303030303030303
05004,2002,1,noemi_sanin,158,693,,0.227994227994228
05021,2002,1,BEDOYA,6,1165,,0.0051502145922746
05021,2002,1,CARDONA,14,1165,,0.0120171673819742
05021,2002,1,CRISTANCHO,4,1165,,0.0034334763948497
05021,2002,1,LORA,7,1165,,0.0060085836909871
05021,2002,1,TARJETAS NO MARCADAS,74,1165,,0.063519313304721
05021,2002,1,TOVAR,9,1165,,0.007725321888412
05021,2002,1,VOTOS EN BLANCO,47,1165,,0.0403433476394849
05021,2002,1,VOTOS NULOS,23,1165,,0.0197424892703862
05021,2002,1,alvaro_uribe,604,1165,,0.5184549356223176
05021,2002,1,horacio_serpa,81,1165,,0.0695278969957081
05021,2002,1,ingrid_betancourt,4,1165,,0.0034334763948497
05021,2002,1,luis_eduardo_garzon,41,1165,,0.0351931330472103
05021,2002,1,noemi_sanin,251,1165,,0.215450643776824
05030,2002,1,BEDOYA,23,7827,,0.0029385460585153
05030,2002,1,CARDONA,9,7827,,0.0011498658489842
05030,2002,1,CRISTANCHO,2,7827,,0.0002555257442187
05030,2002,1,LORA,5,7827,,0.0006388143605468
05030,2002,1,RINCON,2,7827,,0.0002555257442187
05030,2002,1,TARJETAS NO MARCADAS,57,7827,,0.0072824837102338
05030,2002,1,TOVAR,11,7827,,0.001405391593203
05030,2002,1,VOTOS EN BLANCO,113,7827,,0.0144372045483582
05030,2002,1,VOTOS NULOS,131,7827,,0.0167369362463268
05030,2002,1,alvaro_uribe,3872,7827,,0.4946978408074614
05030,2002,1,horacio_serpa,2093,7827,,0.267407691324901
05030,2002,1,ingrid_betancourt,34,7827,,0.0043439376517184
05030,2002,1,luis_eduardo_garzon,225,7827,,0.0287466462246071
05030,2002,1,noemi_sanin,1250,7827,,0.1597035901367062
05031,2002,1,BEDOYA,14,2438,,0.0057424118129614
05031,2002,1,CARDONA,4,2438,,0.0016406890894175
05031,2002,1,CRISTANCHO,5,2438,,0.0020508613617719
05031,2002,1,LORA,1,2438,,0.0004101722723543
05031,2002,1,RINCON,2,2438,,0.0008203445447087
05031,2002,1,TARJETAS NO MARCADAS,17,2438,,0.0069729286300246
05031,2002,1,TOVAR,4,2438,,0.0016406890894175
05031,2002,1,VOTOS EN BLANCO,68,2438,,0.0278917145200984
05031,2002,1,VOTOS NULOS,70,2438,,0.0287120590648072
05031,2002,1,alvaro_uribe,1266,2438,,0.5192780968006563
05031,2002,1,horacio_serpa,526,2438,,0.2157506152584085
05031,2002,1,ingrid_betancourt,16,2438,,0.0065627563576702
05031,2002,1,luis_eduardo_garzon,69,2438,,0.0283018867924528
05031,2002,1,noemi_sanin,376,2438,,0.1542247744052502
05034,2002,1,BEDOYA,36,10887,,0.0033066960595205
05034,2002,1,CARDONA,9,10887,,0.0008266740148801
05034,2002,1,CRISTANCHO,12,10887,,0.0011022320198401
05034,2002,1,LORA,14,10887,,0.0012859373564802
05034,2002,1,RINCON,5,10887,,0.0004592633416
05034,2002,1,TARJETAS NO MARCADAS,70,10887,,0.006429686782401
05034,2002,1,TOVAR,11,10887,,0.0010103793515201
05034,2002,1,VOTOS EN BLANCO,169,10887,,0.0155231009460824
05034,2002,1,VOTOS NULOS,183,10887,,0.0168090383025626
05034,2002,1,alvaro_uribe,7485,10887,,0.68751722237531
05034,2002,1,horacio_serpa,1128,10887,,0.1036098098649765
05034,2002,1,ingrid_betancourt,42,10887,,0.0038578120694406
05034,2002,1,luis_eduardo_garzon,271,10887,,0.0248920731147239
05034,2002,1,noemi_sanin,1452,10887,,0.1333700744006613
05036,2002,1,BEDOYA,15,2085,,0.0071942446043165
05036,2002,1,CRISTANCHO,6,2085,,0.0028776978417266
05036,2002,1,RINCON,1,2085,,0.0004796163069544
05036,2002,1,TARJETAS NO MARCADAS,29,2085,,0.0139088729016786
05036,2002,1,TOVAR,8,2085,,0.0038369304556354
05036,2002,1,VOTOS EN BLANCO,28,2085,,0.0134292565947242
05036,2002,1,VOTOS NULOS,25,2085,,0.0119904076738609
05036,2002,1,alvaro_uribe,1105,2085,,0.5299760191846523
05036,2002,1,horacio_serpa,600,2085,,0.2877697841726618
05036,2002,1,ingrid_betancourt,5,2085,,0.0023980815347721
05036,2002,1,luis_eduardo_garzon,46,2085,,0.022062350119904
05036,2002,1,noemi_sanin,217,2085,,0.1040767386091127
05038,2002,1,BEDOYA,23,1952,,0.0117827868852459
05038,2002,1,CARDONA,23,1952,,0.0117827868852459
05038,2002,1,CRISTANCHO,5,1952,,0.002561475409836
05038,2002,1,LORA,11,1952,,0.0056352459016393
05038,2002,1,RINCON,3,1952,,0.0015368852459016
05038,2002,1,TARJETAS NO MARCADAS,94,1952,,0.048155737704918
05038,2002,1,TOVAR,17,1952,,0.0087090163934426
05038,2002,1,VOTOS EN BLANCO,66,1952,,0.033811475409836
05038,2002,1,VOTOS NULOS,92,1952,,0.0471311475409836
05038,2002,1,alvaro_uribe,1033,1952,,0.5292008196721312
05038,2002,1,horacio_serpa,158,1952,,0.0809426229508196
05038,2002,1,ingrid_betancourt,20,1952,,0.0102459016393442
05038,2002,1,luis_eduardo_garzon,37,1952,,0.0189549180327868
