codigo_municipio,moe_risk_2007,moe_high_risk_2007,moe_risk_2010,moe_high_risk_2010,moe_risk_2011,moe_high_risk_2011,moe_risk_2014,moe_high_risk_2014,moe_risk_2015,moe_high_risk_2015,moe_risk_2016,moe_high_risk_2016,moe_risk_2018,moe_high_risk_2018,moe_risk_2019,moe_high_risk_2019,moe_risk_2022,moe_high_risk_2022,moe_risk_2023,moe_high_risk_2023,armed_group_presence,is_pdet,coca_hectares,risk_level,high_risk_flag
05002,medium,0,low,0,low,0,high,1,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
54003,medium,0,low,0,low,0,low,0,low,0,medium,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
05004,medium,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
50006,low,0,low,0,low,0,low,0,medium,0,low,0,high,1,low,0,low,0,low,0,0,0,0.0,low,0
27006,low,0,low,0,medium,0,low,0,low,0,low,0,low,0,medium,0,low,0,low,0,0,0,0.0,low,0
41006,medium,0,medium,0,high,1,low,0,medium,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
13006,medium,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,high,1,low,0,0,0,0.0,low,0
41013,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
25001,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
20011,high,1,extreme,1,low,0,low,0,low,0,high,1,low,0,low,0,low,0,low,0,0,0,0.0,low,0
68013,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
17013,high,1,extreme,1,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
85010,extreme,1,low,0,medium,0,low,0,extreme,1,high,1,low,0,medium,0,low,0,medium,0,0,0,0.0,medium,0
20013,medium,0,low,0,medium,0,low,0,low,0,high,1,low,0,low,0,low,0,low,0,0,0,0.0,low,0
41016,low,0,high,1,medium,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
25019,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
