municipio,periodo,partido,total_votes
Sabaneta,2002,Alas Equipo Colombia,2367
Sabaneta,2002,Alianza Verde,0
Sabaneta,2002,Cambio Radical,551
Sabaneta,2002,Centro Democrático,0
Sabaneta,2002,Colombia Democrática,772
Sabaneta,2002,Conservador,0
Sabaneta,2002,Liberal,1525
Sabaneta,2002,Movimiento Mira,0
Sabaneta,2002,Movimiento Progresismo Democrático,179
Sabaneta,2002,Movimiento Progresista,68
Sabaneta,2002,Otros,4322
Sabaneta,2002,Partido de la U,0
Sabaneta,2002,Polo Democrático,0
Sabaneta,2002,Votos en Blanco,893
Sabaneta,2002,Votos No Marcados,0
Sabaneta,2002,Votos Nulos,510
Sabaneta,2006,Alas Equipo Colombia,4079
Sabaneta,2006,Alianza Verde,0
Sabaneta,2006,Cambio Radical,607
Sabaneta,2006,Centro Democrático,0
Sabaneta,2006,Colombia Democrática,1496
Sabaneta,2006,Conservador,837
Sabaneta,2006,Liberal,1773
Sabaneta,2006,Movimiento Mira,76
Sabaneta,2006,Movimiento Progresismo Democrático,0
Sabaneta,2006,Movimiento Progresista,0
Sabaneta,2006,Otros,204
Sabaneta,2006,Partido de la U,1062
Sabaneta,2006,Polo Democrático,664
Sabaneta,2006,Votos en Blanco,409
Sabaneta,2006,Votos No Marcados,310
Sabaneta,2006,Votos Nulos,2369
Sabaneta,2010,Alas Equipo Colombia,0
Sabaneta,2010,Alianza Verde,1365
Sabaneta,2010,Cambio Radical,2080
Sabaneta,2010,Centro Democrático,4646
Sabaneta,2010,Colombia Democrática,0
Sabaneta,2010,Conservador,6459
Sabaneta,2010,Liberal,3124
Sabaneta,2010,Movimiento Mira,330
Sabaneta,2010,Movimiento Progresismo Democrático,0
Sabaneta,2010,Movimiento Progresista,0
Sabaneta,2010,Otros,305
Sabaneta,2010,Partido de la U,2123
Sabaneta,2010,Polo Democrático,824
Sabaneta,2010,Votos en Blanco,455
Sabaneta,2010,Votos No Marcados,759
Sabaneta,2010,Votos Nulos,3777
Sabaneta,2015,Alas Equipo Colombia,0
Sabaneta,2015,Alianza Verde,1372
Sabaneta,2015,Cambio Radical,2138
Sabaneta,2015,Centro Democrático,5274
Sabaneta,2015,Colombia Democrática,0
Sabaneta,2015,Conservador,6477
Sabaneta,2015,Liberal,3151
Sabaneta,2015,Movimiento Mira,338
Sabaneta,2015,Movimiento Progresismo Democrático,0
Sabaneta,2015,Movimiento Progresista,0
Sabaneta,2015,Otros,438
Sabaneta,2015,Partido de la U,2073
Sabaneta,2015,Polo Democrático,811
Sabaneta,2015,Votos en Blanco,1769
Sabaneta,2015,Votos No Marcados,471
Sabaneta,2015,Votos Nulos,3616
Sabaneta,2019,Alas Equipo Colombia (somos),345
Sabaneta,2019,Alianza Verde,2914
Sabaneta,2019,Cambio Radical,1924
Sabaneta,2019,Centro Democrático,12226
Sabaneta,2019,Colombia Democrática,0
Sabaneta,2019,Conservador Colombiano,3230
Sabaneta,2019,Liberal Colombiano,6429
Sabaneta,2019,Movimiento Mira,475
Sabaneta,2019,Movimiento Progresismo Democrático,0
Sabaneta,2019,Movimiento Progresista,0
Sabaneta,2019,Otros Partidos,536
Sabaneta,2019,Partido de la U,1369
Sabaneta,2019,Polo Democrático,1291
Sabaneta,2019,Votos en Blanco,1664
Sabaneta,2019,Votos No Marcados,566
Sabaneta,2019,Votos Nulos,2884
