"","code_dane","code_rnec","municipio","departamento","ano","eleccion","_zona","zona","puesto","puesto2","mujeres","hombres","total","mesas"
"1",5001,1001,"Medellín","Antioquia",2011,"Locales",1,"Urbana","1","SEC.ESC.LA ESPERANZA NO 2",6119,3410,9529,28
"2",5001,1001,"Medellín","Antioquia",2011,"Locales",1,"Urbana","2","INST.EDUC. LA CANDELARIA",4893,10464,15357,46
"3",5001,1001,"Medellín","Antioquia",2011,"Locales",1,"Urbana","3","INST.EDUC.MARIA DE LOS A.",2339,3059,5398,16
"4",5001,1001,"Medellín","Antioquia",2011,"Locales",1,"Urbana","4","SEC. ESC. MEDELLIN",2708,3738,6446,19
"5",5001,1001,"Medellín","Antioquia",2011,"Locales",2,"Urbana","1","SEC.ESC. PABLO VI",14866,4972,19838,59
"6",5001,1001,"Medellín","Antioquia",2011,"Locales",2,"Urbana","2","SEC. ESC. DIVINA PROVIDENCIA",1595,5323,6918,21
"7",5001,1001,"Medellín","Antioquia",2011,"Locales",2,"Urbana","3","SEC.ESC.AGRIPINA MONTES DEL V",4376,14469,18845,56
"8",5001,1001,"Medellín","Antioquia",2011,"Locales",3,"Urbana","1","INST. EDUC. ASIA IGNACIANA",6034,6436,12470,37
"9",5001,1001,"Medellín","Antioquia",2011,"Locales",3,"Urbana","2","SEC.ESC.  MANUEL URIBE ANGEL",3512,5959,9471,28
"10",5001,1001,"Medellín","Antioquia",2011,"Locales",3,"Urbana","3","SEC.ESC. REPUB. DE NICARAGUA",2877,4048,6925,21
"11",5001,1001,"Medellín","Antioquia",2011,"Locales",4,"Urbana","1","I.E. BARRIO SANTA CRUZ",2689,3738,6427,19
"12",5001,1001,"Medellín","Antioquia",2011,"Locales",4,"Urbana","2","SEC. ESC. ARZOBISPO GARCIA",3506,4709,8215,25
"13",5001,1001,"Medellín","Antioquia",2011,"Locales",4,"Urbana","3","I.E. REPUBLICA DE HONDURAS",2349,3218,5567,17
"14",5001,1001,"Medellín","Antioquia",2011,"Locales",5,"Urbana","1","I.E. REPUBLICA DE BARBADOS",4252,6300,10552,31
"15",5001,1001,"Medellín","Antioquia",2011,"Locales",5,"Urbana","2","I.E. SAN LORENZO DE ABURR",2957,4092,7049,21
"16",5001,1001,"Medellín","Antioquia",2011,"Locales",5,"Urbana","3","I.E. MANUELA BELTRAN",4231,10600,14831,44
