"","code_dane","code_rnec","municipio","departamento","ano","eleccion","_zona","zona","puesto","puesto2","mujeres","hombres","total","mesas"
"1",NA,NA,NA,NA,2018,"Congreso",5,"Urbana","2","GHANA-ACCRA CONSULADO",5,13,18,1
"2",NA,NA,NA,NA,2018,"Congreso",5,"Urbana","2","ALEMANIA-BERLIN CONSULADO",705,764,1469,3
"3",NA,NA,NA,NA,2018,"Congreso",5,"Urbana","4","ALEMANIA-HAMBURGO",197,252,449,1
"4",NA,NA,NA,NA,2018,"Congreso",15,"Urbana","2","ALEMANIA-FRANKFURT CONSULADO",824,1219,2043,3
"5",NA,NA,NA,NA,2018,"Congreso",15,"Urbana","4","ALEMANIA-MUNICH",63,75,138,1
"6",NA,NA,NA,NA,2018,"Congreso",5,"Urbana","2","ARGELIA-ARGEL CONSULADO",7,8,15,1
"7",NA,NA,NA,NA,2018,"Congreso",5,"Urbana","2","ARZERBAIYAN-BAKU CONSULADO",8,9,17,1
"8",NA,NA,NA,NA,2018,"Congreso",10,"Urbana","2","CURAZAO-WILLEMSTAD CONSULADO",620,881,1501,3
"9",NA,NA,NA,NA,2018,"Congreso",5,"Urbana","2","ARGENTINA-BUENOS AIRES CONSULADO",4034,4703,8737,13
"10",NA,NA,NA,NA,2018,"Congreso",5,"Urbana","4","ARGENTINA-MENDOZA",13,19,32,1
"11",NA,NA,NA,NA,2018,"Congreso",5,"Urbana","2","ARUBA-ORANJESTAD CONSULADO",1376,2084,3460,5
"12",NA,NA,NA,NA,2018,"Congreso",3,"Urbana","2","AUSTRALIA-CANBERRA CONSULADO",184,174,358,1
"13",NA,NA,NA,NA,2018,"Congreso",3,"Urbana","4","AUSTRALIA-MELBOURNE",1085,1304,2389,4
"14",NA,NA,NA,NA,2018,"Congreso",3,"Urbana","5","AUSTRALIA-PERTH",177,239,416,1
"15",NA,NA,NA,NA,2018,"Congreso",10,"Urbana","2","AUSTRALIA-SYDNEY CONSULADO",1152,1314,2466,4
"16",NA,NA,NA,NA,2018,"Congreso",10,"Urbana","4","AUSTRALIA-BRISBANE",464,574,1038,2
"17",NA,NA,NA,NA,2018,"Congreso",5,"Urbana","2","AUSTRIA-VIENA CONSULADO",342,406,748,2
"18",NA,NA,NA,NA,2018,"Congreso",10,"Urbana","3","AUSTRIA-GRAZ CONSULADO HONORARIO",15,18,33,1
"19",NA,NA,NA,NA,2018,"Congreso",5,"Urbana","2","BELGICA-BRUSELAS CONSULADO",820,1156,1976,3
"20",NA,NA,NA,NA,2018,"Congreso",5,"Urbana","2","BOLIVIA-LA PAZ CONSULADO",218,213,431,1
"21",NA,NA,NA,NA,2018,"Congreso",10,"Urbana","3","BOLIVIA-SANTA CRUZ DE LA SIERRA CONSUL. HON.",205,149,354,1
"22",NA,NA,NA,NA,2018,"Congreso",5,"Urbana","2","BRASIL-BRASILIA CONSULADO",250,184,434,1
"23",NA,NA,NA,NA,2018,"Congreso",12,"Urbana","3","BRASIL-CURUTIBA CONSULADO HONORARIO",88,84,172,1
"24",NA,NA,NA,NA,2018,"Congreso",14,"Urbana","3","BRASIL-FORTALEZA CONSULADO HONORARIO",36,15,51,1
"25",NA,NA,NA,NA,2018,"Congreso",15,"Urbana","2","BRASIL-MANAOS - CONSULADO",193,111,304,1
"26",NA,NA,NA,NA,2018,"Congreso",25,"Urbana","3","BRASIL-RECIFE CONSULADO HONORARIO",10,7,17,1
"27",NA,NA,NA,NA,2018,"Congreso",35,"Urbana","2","BRASIL-SAO PAULO CONSULADO",853,752,1605,3
"28",NA,NA,NA,NA,2018,"Congreso",35,"Urbana","4","BRASIL-BELO HORIZONTE",51,23,74,1
"29",NA,NA,NA,NA,2018,"Congreso",35,"Urbana","5","BRASIL-FLORIANAPOLIS",46,30,76,1
