"","code_dane","code_rnec","municipio","departamento","ano","eleccion","_zona","zona","puesto","puesto2","mujeres","hombres","total","mesas"
"1",5001,1001,"Medellín","Antioquia",2022,"Presidencia",1,"Urbana","1","SEC. ESC. LA ESPERANZA No 2",4975,7439,12414,32
"2",5001,1001,"Medellín","Antioquia",2022,"Presidencia",1,"Urbana","2","INST.EDUC. LA CANDELARIA",10595,6750,17345,45
"3",5001,1001,"Medellín","Antioquia",2022,"Presidencia",1,"Urbana","3","IE.MARIA DE LOS ANGELES CANO MARQUEZ",4140,3392,7532,20
"4",5001,1001,"Medellín","Antioquia",2022,"Presidencia",1,"Urbana","4","SEC. ESC. MEDELLIN",4655,3716,8371,22
"5",5001,1001,"Medellín","Antioquia",2022,"Presidencia",1,"Urbana","5","I.E.FE Y ALEGRIA GRANIZAL",1567,1400,2967,8
"6",5001,1001,"Medellín","Antioquia",2022,"Presidencia",1,"Urbana","6","IE LA AVANZADA",664,449,1113,3
"7",5001,1001,"Medellín","Antioquia",2022,"Presidencia",1,"Urbana","7","SEC. ESC. CARPINELO AMAPOLITA",467,356,823,3
"8",5001,1001,"Medellín","Antioquia",2022,"Presidencia",1,"Urbana","8","IE ANTONIO DERKA",1824,1548,3372,9
"9",5001,1001,"Medellín","Antioquia",2022,"Presidencia",2,"Urbana","1","SEC.ESC. PABLO VI",5547,17562,23109,59
"10",5001,1001,"Medellín","Antioquia",2022,"Presidencia",2,"Urbana","2","SEC. ESC. DIVINA PROVIDENCIA",9031,2719,11750,30
"11",5001,1001,"Medellín","Antioquia",2022,"Presidencia",2,"Urbana","3","SEC.ESC.AGRIPINA MONTES DEL VALLE",5237,3388,8625,22
"12",5001,1001,"Medellín","Antioquia",2022,"Presidencia",2,"Urbana","4","I.E.FEDERICO CARRASQUILLA",1641,1288,2929,8
"13",5001,1001,"Medellín","Antioquia",2022,"Presidencia",2,"Urbana","5","I.E.GUADALUPE",5985,2042,8027,21
"14",5001,1001,"Medellín","Antioquia",2022,"Presidencia",3,"Urbana","1","I.E.  ASIA IGNACIANA",7480,6817,14297,37
"15",5001,1001,"Medellín","Antioquia",2022,"Presidencia",3,"Urbana","2","SEC.ESC.  MANUEL URIBE ANGEL",7717,5595,13312,34
"16",5001,1001,"Medellín","Antioquia",2022,"Presidencia",3,"Urbana","3","SEC.ESC. REPUB. DE NICARAGUA",4801,3548,8349,22
"17",5001,1001,"Medellín","Antioquia",2022,"Presidencia",3,"Urbana","4","I.E.FE Y ALEGRIA J.MARIA VELAZ",1530,1039,2569,7
"18",5001,1001,"Medellín","Antioquia",2022,"Presidencia",4,"Urbana","1","I.E. BARRIO SANTA CRUZ",5163,4214,9377,24
"19",5001,1001,"Medellín","Antioquia",2022,"Presidencia",4,"Urbana","2","SEC. ESC. ARZOBISPO GARCIA",5408,4223,9631,25
"20",5001,1001,"Medellín","Antioquia",2022,"Presidencia",4,"Urbana","3","I.E. REPUBLICA DE HONDURAS",4605,3537,8142,21
"21",5001,1001,"Medellín","Antioquia",2022,"Presidencia",5,"Urbana","1","I.E. REPUBLICA DE BARBADOS",8756,6623,15379,40
"22",5001,1001,"Medellín","Antioquia",2022,"Presidencia",5,"Urbana","2","IE LAS NIEVES",5455,4325,9780,25
"23",5001,1001,"Medellín","Antioquia",2022,"Presidencia",5,"Urbana","3","I.E. MANUELA BELTRAN",11261,6001,17262,44
"24",5001,1001,"Medellín","Antioquia",2022,"Presidencia",5,"Urbana","4","SEC.ESC.SAN JOSE I.E. MAN BEL",5932,8023,13955,36
"25",5001,1001,"Medellín","Antioquia",2022,"Presidencia",5,"Urbana","5","I.E.RAMON MUNERA LOPERA",2005,1448,3453,9
"26",5001,1001,"Medellín","Antioquia",2022,"Presidencia",5,"Urbana","6","IE BELLO ORIENTE",654,482,1136,3
"27",5001,1001,"Medellín","Antioquia",2022,"Presidencia",5,"Urbana","7","IE JOSE ROBERTO VASQUEZ",771,609,1380,4
"28",5001,1001,"Medellín","Antioquia",2022,"Presidencia",6,"Urbana","1","I.E. JOSE ANTONIO GALAN",6476,5439,11915,31
"29",5001,1001,"Medellín","Antioquia",2022,"Presidencia",6,"Urbana","2","I.E. HERNAN TORO AGUDELO",7493,5991,13484,35
"30",5001,1001,"Medellín","Antioquia",2022,"Presidencia",6,"Urbana","3","SEC ESC SUSANA DIAZ IE RODRIGO L BONILLA",3972,3846,7818,20
"31",5001,1001,"Medellín","Antioquia",2022,"Presidencia",6,"Urbana","4","IE SAN JUAN BAUTISTA DE LA SALLE",1285,1045,2330,6
"32",5001,1001,"Medellín","Antioquia",2022,"Presidencia",7,"Urbana","1","COL AGUSTINIANO DE SAN NICOLAS",7678,6524,14202,37
"33",5001,1001,"Medellín","Antioquia",2022,"Presidencia",7,"Urbana","2","I.E. MONSEÑOR FCO. CRISTOBAL T",6596,5329,11925,31
"34",5001,1001,"Medellín","Antioquia",2022,"Presidencia",7,"Urbana","3","I.E. GILBERTO ALZATE AVENDAÑO",6768,5906,12674,33
"35",5001,1001,"Medellín","Antioquia",2022,"Presidencia",7,"Urbana","4","I.E. CAMPO VALDES",5459,4581,10040,26
"36",5001,1001,"Medellín","Antioquia",2022,"Presidencia",7,"Urbana","5","I.E.SAN JUAN BOSCO",1303,804,2107,6
