REGION,CÓDIGO DANE DEL DEPARTAMENTO,departamento,codigo_municipio,nombre_municipio_x,vote_share_2002_r1_alvaro_uribe,vote_share_2002_r1_horacio_serpa,vote_share_2006_r1_alvaro_uribe,vote_share_2006_r1_carlos_gaviria,vote_share_2010_r1_gustavo_petro,vote_share_2010_r1_juan_manuel_santos,vote_share_2014_r1_clara_lopez,vote_share_2014_r1_oscar_ivan_zuluaga,vote_share_2018_r1_gustavo_petro,vote_share_2018_r1_ivan_duque,vote_share_2022_r1_blanco,vote_share_2022_r1_federico_gutierrez,vote_share_2022_r1_gustavo_petro,vote_share_2022_r1_no_marcados,vote_share_2022_r1_nulos,vote_share_2022_r1_rest,vote_share_2022_r1_rodolfo_hernandez,vote_share_2022_r1_sergio_fajardo,vote_share_2022_r2_blanco,vote_share_2022_r2_gustavo_petro,vote_share_2022_r2_no_marcados,vote_share_2022_r2_nulos,vote_share_2022_r2_rodolfo_hernandez,nombre_municipio_y,poblacion_total,poblacion_afrocolombiana,poblacion_indigena,poblacion_rural_dispersa,anos_escolaridad,hogares_con_internet,hogares_totales,pct_afro_colombian,pct_indigenous,pct_rural_disperso,years_schooling,internet_access_rate,ipm_score,nbi_rate,proyeccion_2022,population_2022,risk_level,is_pdet,coca_hectares,armed_group_presence,high_risk_flag
Región Eje Cafetero - Antioquia,5,Antioquia,05002,Abejorral,0.282,0.0729,0.331,0.0514,0.0498,0.2496,0.0349,0.158,0.0963,0.2075,0.0152496626180836,0.6669365721997301,0.092442645074224,0.0056680161943319,0.0120107962213225,0.0093117408906882,0.1500674763832658,0.0483130904183535,0.0165267914783731,0.1323434473854099,0.0028405422853453,0.0087798579728857,0.8395093608779858,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,54,Norte de Santander,54003,Abrego,0.95,0.0996,0.95,0.0701,0.0679,0.95,0.0476,0.7652,0.1315,0.95,0.0085883822610868,0.115943160524672,0.1261711430356027,0.0013272954403497,0.0039038101186758,0.0085103060587133,0.726577139287945,0.0089787632729544,0.0073151860448758,0.1707814588169093,0.0007033832735457,0.0049940212421748,0.8162059506224942,,,,,,,,,,,,,,,,,,,,,,
Región Eje Cafetero - Antioquia,5,Antioquia,05004,Abriaquí,0.331,0.0447,0.3884,0.0315,0.0305,0.2929,0.0214,0.1855,0.0591,0.2436,0.0192307692307692,0.7044534412955465,0.0566801619433198,0.0030364372469635,0.0060728744939271,0.0050607287449392,0.1761133603238866,0.0293522267206477,0.0204262877442273,0.0879218472468916,0.0035523978685612,0.0088809946714031,0.8792184724689165,,,,,,,,,,,,,,,,,,,,,,
Región Llano,50,Meta,50006,Acacias,0.95,0.1946,0.95,0.137,0.1328,0.95,0.093,0.6048,0.257,0.7941,0.0130119983450558,0.1120190318576748,0.2465659908978072,0.0005585436491518,0.0176251551510136,0.0190732312784443,0.5742242449317335,0.0169218038891187,0.0194779898714452,0.3247493490250753,0.0006766038586923,0.0221639021589814,0.6329321550858057,,,,,,,,,,,,,,,,,,,,,,
Región Pacífico,27,Chocó,27006,Acandí,0.1864,0.4149,0.2187,0.2922,0.2831,0.1649,0.1983,0.1044,0.5479,0.1371,0.0240933299518133,0.3091554653816891,0.5257418209485164,0.0048186659903626,0.0114126299771747,0.0068475779863048,0.0991630738016738,0.0187674359624651,0.020174232003668,0.5907840440165062,0.0032095369096744,0.0087116001834021,0.3771205868867492,,,,,,,,,,,,,,,,,,,,,,
Región Centro Sur,41,Huila,41006,Acevedo,0.95,0.1143,0.95,0.0805,0.078,0.95,0.0547,0.7158,0.151,0.94,0.0091963902019767,0.1333046841426729,0.1449076063601203,0.001031370863773,0.0070477009024495,0.0157284056725397,0.6796733992264719,0.0091104426299957,0.011472128118263,0.1894056051740067,0.0006929473360024,0.0066214967662457,0.791807822605482,,,,,,,,,,,,,,,,,,,,,,
Región Caribe,13,Bolívar,13006,Achí,0.3946,0.1689,0.4631,0.119,0.1153,0.3492,0.0808,0.2211,0.2231,0.2904,0.0078838174273858,0.51134163208852,0.2141078838174273,0.0023513139695712,0.0037344398340248,0.0286307053941908,0.2099585062240664,0.0219917012448132,0.0085686700458604,0.298817282162684,0.0012068549360366,0.002534395365677,0.6888727974897417,,,,,,,,,,,,,,,,,,,,,,
Región Centro Sur,41,Huila,41013,Agrado,0.9091,0.1709,0.95,0.1204,0.1166,0.8045,0.0817,0.5095,0.2257,0.669,0.0121527777777777,0.2471788194444444,0.2165798611111111,0.0008680555555555,0.0073784722222222,0.0208333333333333,0.4837239583333333,0.0112847222222222,0.0129629629629629,0.2903292181069959,0.0006172839506172,0.0109053497942386,0.6851851851851852,,,,,,,,,,,,,,,,,,,,,,
Región Centro Oriente,25,Cundinamarca,25001,Agua de Dios,0.7095,0.2554,0.8326,0.1799,0.1743,0.6278,0.1221,0.3976,0.3373,0.5221,0.0174891774891774,0.2228571428571428,0.3236363636363636,0.0019047619047619,0.0121212121212121,0.0121212121212121,0.3774891774891775,0.0323809523809523,0.0198900388098318,0.3903622250970245,0.0008085381630012,0.0130983182406209,0.5758408796895214,,,,,,,,,,,,,,,,,,,,,,
Región Caribe,20,Cesar,20011,Aguachica,0.95,0.205,0.95,0.1444,0.1399,0.8749,0.098,0.554,0.2708,0.7275,0.0117103667071008,0.1421339927218438,0.2598441728095549,0.0007698049827377,0.0126901185033124,0.0323084818512643,0.5260567322944854,0.0144863301297004,0.0151045268958747,0.3345753106802615,0.0006023961982106,0.0143236429352312,0.6353941232904219,,,,,,,,,,,,,,,,,,,,,,
