REGION,CÓDIGO DANE DEL DEPARTAMENTO,departamento,codigo_municipio,nombre_municipio_x,comuna_nombre_x,region,vote_share_2002_r1_BEDOYA,vote_share_2002_r1_CARDONA,vote_share_2002_r1_CRISTANCHO,vote_share_2002_r1_LORA,vote_share_2002_r1_RINCON,vote_share_2002_r1_TARJETAS NO MARCADAS,vote_share_2002_r1_TOVAR,vote_share_2002_r1_VOTOS EN BLANCO,vote_share_2002_r1_VOTOS NULOS,vote_share_2002_r1_alvaro_uribe,vote_share_2002_r1_horacio_serpa,vote_share_2002_r1_ingrid_betancourt,vote_share_2002_r1_luis_eduardo_garzon,vote_share_2002_r1_noemi_sanin,vote_share_2006_r1_LEYVA,vote_share_2006_r1_PAREJO,vote_share_2006_r1_RINCON,vote_share_2006_r1_TARJETAS NO MARCADAS,vote_share_2006_r1_VOTOS EN BLANCO,vote_share_2006_r1_VOTOS NULOS,vote_share_2006_r1_alvaro_uribe,vote_share_2006_r1_antanas_mockus,vote_share_2006_r1_carlos_gaviria,vote_share_2006_r1_horacio_serpa,vote_share_2010_r1_ARAUJO,vote_share_2010_r1_CALDERON,vote_share_2010_r1_DEVIA,vote_share_2010_r1_PARDO,vote_share_2010_r1_TARJETAS NO MARCADAS,vote_share_2010_r1_VARGAS,vote_share_2010_r1_VOTOS EN BLANCO,vote_share_2010_r1_VOTOS NULOS,vote_share_2010_r1_antanas_mockus,vote_share_2010_r1_gustavo_petro,vote_share_2010_r1_juan_manuel_santos,vote_share_2010_r1_noemi_sanin,vote_share_2010_r2_TARJETAS NO MARCADAS,vote_share_2010_r2_VOTOS EN BLANCO,vote_share_2010_r2_VOTOS NULOS,vote_share_2010_r2_antanas_mockus,vote_share_2010_r2_juan_manuel_santos,vote_share_2014_r1_LOPEZ,vote_share_2014_r1_RAMIREZ,vote_share_2014_r1_TARJETAS NO  MARCADAS,vote_share_2014_r1_VOTOS EN BLANCO,vote_share_2014_r1_VOTOS NULOS,vote_share_2014_r1_enrique_penalosa,vote_share_2014_r1_juan_manuel_santos,vote_share_2014_r1_oscar_ivan_zuluaga,vote_share_2014_r2_TARJETAS NO MARCADAS,vote_share_2014_r2_VOTOS EN BLANCO,vote_share_2014_r2_VOTOS NULOS,vote_share_2014_r2_juan_manuel_santos,vote_share_2014_r2_oscar_ivan_zuluaga,vote_share_2018_r1_DE LA CALLE,vote_share_2018_r1_MORALES,vote_share_2018_r1_TARJETAS NO MARCADAS,vote_share_2018_r1_TRUJILLO,vote_share_2018_r1_VARGAS,vote_share_2018_r1_VOTOS EN BLANCO,vote_share_2018_r1_VOTOS NULOS,vote_share_2018_r1_gustavo_petro,vote_share_2018_r1_ivan_duque,vote_share_2018_r1_sergio_fajardo,vote_share_2018_r2_TARJETAS NO MARCADAS,vote_share_2018_r2_VOTOS EN BLANCO,vote_share_2018_r2_VOTOS NULOS,vote_share_2018_r2_gustavo_petro,vote_share_2018_r2_ivan_duque,vote_share_2022_r1_ENRIQUE GÓMEZ MARTÍNEZ,vote_share_2022_r1_FEDERICO GUTIÉRREZ,vote_share_2022_r1_GUSTAVO PETRO,vote_share_2022_r1_INGRID BETANCOURT,vote_share_2022_r1_JOHN MILTON RODRÍGUEZ,vote_share_2022_r1_LUIS PÉREZ,vote_share_2022_r1_RODOLFO HERNÁNDEZ,vote_share_2022_r1_SERGIO FAJARDO,vote_share_2022_r1_VOTOS EN BLANCO .,vote_share_2022_r1_VOTOS NO MARCADOS .,vote_share_2022_r1_VOTOS NULOS .,vote_share_2022_r1_federico_gutierrez,vote_share_2022_r1_gustavo_petro,vote_share_2022_r1_ingrid_betancourt,vote_share_2022_r1_rodolfo_hernandez,vote_share_2022_r1_sergio_fajardo,vote_share_2022_r2_GUSTAVO PETRO,vote_share_2022_r2_RODOLFO HERNÁNDEZ,vote_share_2022_r2_VOTOS EN BLANCO .,vote_share_2022_r2_VOTOS NO MARCADOS .,vote_share_2022_r2_VOTOS NULOS .,vote_share_2022_r2_gustavo_petro,vote_share_2022_r2_rodolfo_hernandez,nbi_rate_x,nbi_urban,nbi_rural,ipm_2018,ipm_2018_imputed,ipm_2022,ipm_2022_imputed,nombre_municipio_y,poblacion_total_x,poblacion_afrocolombiana_x,poblacion_indigena_x,poblacion_rural_dispersa_x,anos_escolaridad,hogares_con_internet,hogares_totales,pct_afro_colombian_x,pct_indigenous_x,pct_rural_disperso_x,years_schooling,internet_access_rate_x,ipm_score,nbi_rate_y,proyeccion_2022,population_2022,moe_risk_2007,moe_high_risk_2007,moe_risk_2010,moe_high_risk_2010,moe_risk_2011,moe_high_risk_2011,moe_risk_2014,moe_high_risk_2014,moe_risk_2015,moe_high_risk_2015,moe_risk_2016,moe_high_risk_2016,moe_risk_2018,moe_high_risk_2018,moe_risk_2019,moe_high_risk_2019,moe_risk_2022,moe_high_risk_2022,moe_risk_2023,moe_high_risk_2023,armed_group_presence,is_pdet,coca_hectares,risk_level,high_risk_flag,poblacion_total_y,poblacion_afrocolombiana_y,poblacion_indigena_y,poblacion_rural_dispersa_y,pct_afro_colombian_y,pct_indigenous_y,pct_rural_disperso_y,years_schooling_promedio,pct_school_attendance,internet_access_rate_y,labor_force_participation_rate,pct_female,rooms_per_household,persons_per_household,pct_age_18_29,pct_age_30_54,pct_age_55_plus,pop_2018,pop_2019,pop_2020,pop_2021,pop_2022,pop_2023,pop_2024,pop_2025,pop_2026,comuna_nombre_y,pct_ingresos_propios,gastos_totales_per_capita,transferencias_per_capita,ingresos_tributarios_per_capita
Región Eje Cafetero - Antioquia,5,Antioquia,05002,Abejorral,,,0.0040615647712697,0.0012825994014536,0.0014963659683625,0.0014963659683625,0.0004275331338178,0.0123984608807182,0.0042753313381787,0.0153911928174433,0.0166737922188969,0.5823001282599402,0.2351432235998289,0.0047028644719965,0.0331338178708849,0.0872167592988456,0.002804262478968,0.0061693774537296,0.0013086558235184,0.0102822957562161,0.0147691157225649,0.0115909515797345,0.8498784819592448,0.001869508319312,0.0596373153860534,0.041690035520658,0.0006328112640404,0.0006328112640404,0.0014238253440911,0.0609080841638981,0.0037968675842429,0.0196171491852555,0.0128144280968201,0.0128144280968201,0.0386014871064704,0.0099667774086378,0.8069925644676476,0.0317987660180351,0.004712535344015,0.0157084511467169,0.0073829720389569,0.049167452089224,0.923028589381087,0.0657432292743436,0.103576597064296,0.0103369857349596,0.0380401075046516,0.019226793467025,0.0177796154641306,0.1190820756667355,0.6262145958238577,0.007644598297995,0.0268282128948507,0.0190393768931198,0.1820279821145247,0.7644598297995095,0.0110908538438164,0.0036463081130355,0.0129140079003342,0.0022789425706472,0.0527195381343056,0.0116985718626557,0.0135217259191735,0.0279550288666058,0.6958371315709511,0.1666666666666666,0.0048668379072597,0.0235230498850885,0.0091929160470461,0.0739488982019737,0.8884682979586319,0.0025641025641025,,,,0.0048582995951417,0.0010796221322537,,,0.0152496626180836,0.0056680161943319,0.0120107962213225,0.6669365721997301,0.092442645074224,0.0008097165991902,0.1500674763832658,0.0483130904183535,,,0.0165267914783731,0.0028405422853453,0.0087798579728857,0.1323434473854099,0.8395093608779858,0.1395891424344164,0.0875775501370653,0.17346363465514,0.1588426984159165,True,0.1588426984159165,True,,,,,,,,,,,,,,,,,,medium,0.0,low,0.0,low,0.0,high,1.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,0.0,0.0,0.0,low,0.0,20368.0,1036.0,625.0,4129.0,0.0508,0.0307,0.2027,10.1605,0.8485,0.5025,0.5949,0.4926,3.4226,3.24,0.2815,0.3146,0.4039,20368.0,20612.0,20878.0,20962.0,21000.0,21030.0,21121.0,21147.0,21126.0,,0.643769648861143,979132.3885714284,65856.11142857143,108344.26142857142
Región Centro Oriente,54,Norte de Santander,54003,Abrego,,,0.0088921822897369,0.0022230455724342,0.0016672841793256,0.0027788069655427,0.0020377917747313,0.0055576139310855,0.0031493145609484,0.0183401259725824,0.0166728417932567,0.4753612449055205,0.2591700629862912,0.0042608373471656,0.0620600222304557,0.1378288254909225,0.0012137763617053,0.0031861629494765,0.0025792747686238,0.0028827188590502,0.0122894856622667,0.0101653770292823,0.7909270216962525,0.0012137763617053,0.0930056137156728,0.0825367925959641,0.0003870967741935,0.0006451612903225,0.000516129032258,0.0267096774193548,0.0036129032258064,0.0201290322580645,0.0116129032258064,0.0073548387096774,0.0670967741935483,0.0267096774193548,0.7886451612903226,0.0465806451612903,0.0033577913194876,0.0210172864071632,0.0059694067902002,0.0573311777142146,0.9123243377689342,0.0604351329572925,0.0710717163577759,0.0032232070910556,0.0348106365834004,0.0157937147461724,0.0269137792103142,0.2525382755842063,0.5352135374697824,0.0049891540130151,0.0200650759219088,0.0117136659436008,0.3862255965292842,0.5770065075921909,0.0055702917771883,0.0012378426171529,0.0025641025641025,0.0015030946065428,0.054288240495137,0.007603890362511,0.0059239610963748,0.0775419982316534,0.7634836427939876,0.0791335101679929,0.001373182552504,0.0210016155088853,0.0065428109854604,0.1180129240710824,0.8530694668820679,0.0034353529044347,,,,0.004840724547158,7.807620237351655e-05,,,0.0085883822610868,0.0013272954403497,0.0039038101186758,0.115943160524672,0.1261711430356027,0.000156152404747,0.726577139287945,0.0089787632729544,,,0.0073151860448758,0.0007033832735457,0.0049940212421748,0.1707814588169093,0.8162059506224942,0.2789029816056843,0.1571289379668723,0.4062351422943693,0.2076902500365385,True,0.2076902500365385,True,,,,,,,,,,,,,,,,,,medium,0.0,low,0.0,low,0.0,low,0.0,low,0.0,medium,0.0,low,0.0,low,0.0,low,0.0,low,0.0,0.0,0.0,0.0,low,0.0,31785.0,3301.0,3246.0,9816.0,0.1039,0.1021,0.3088,9.6526,0.8385,0.4577,0.6311,0.4935,2.9802,3.7479,0.2577,0.2821,0.4602,31785.0,32731.0,33774.0,34418.0,34905.0,35395.0,35875.0,36269.0,36622.0,,0.6807564939730227,842605.1371428572,34965.52714285714,62670.92
Región Eje Cafetero - Antioquia,5,Antioquia,05004,Abriaquí,,,0.0043290043290043,0.0072150072150072,,,,0.0259740259740259,0.0101010101010101,0.0057720057720057,0.023088023088023,0.5512265512265512,0.1096681096681096,0.0043290043290043,0.0303030303030303,0.227994227994228,0.0027816411682892,0.0083449235048678,0.0027816411682892,0.0083449235048678,0.0208623087621696,0.0139082058414464,0.7955493741307371,0.0041724617524339,0.1154381084840055,0.0278164116828929,0.0012239902080783,,0.0061199510403916,0.0318237454100367,0.0048959608323133,0.0318237454100367,0.0159118727050183,0.011015911872705,0.0416156670746634,0.0122399020807833,0.7233782129742962,0.1199510403916768,0.0095465393794749,0.0226730310262529,0.0155131264916467,0.08472553699284,0.8675417661097852,0.0211565585331452,0.1904090267983074,0.0225669957686882,0.0282087447108603,0.0169252468265162,0.0169252468265162,0.2961918194640338,0.4076163610719323,0.0068571428571428,0.0342857142857142,0.0194285714285714,0.352,0.5874285714285714,0.0150905432595573,0.0020120724346076,0.0060362173038229,0.0020120724346076,0.0271629778672032,0.0100603621730382,0.0030181086519114,0.011066398390342,0.8329979879275654,0.0895372233400402,0.0094696969696969,0.0255681818181818,0.0009469696969696,0.0407196969696969,0.9232954545454546,0.0030364372469635,,,,,0.0020242914979757,,,0.0192307692307692,0.0030364372469635,0.0060728744939271,0.7044534412955465,0.0566801619433198,,0.1761133603238866,0.0293522267206477,,,0.0204262877442273,0.0035523978685612,0.0088809946714031,0.0879218472468916,0.8792184724689165,0.1163007940214852,0.0480225988700565,0.1500348918353105,0.1588426984159165,True,0.1588426984159165,True,,,,,,,,,,,,,,,,,,medium,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,0.0,0.0,0.0,low,0.0,2718.0,130.0,210.0,382.0,0.0477,0.0774,0.1407,10.57,0.9179,0.5145,0.6562,0.5017,2.7803,3.1035,0.2301,0.3056,0.4643,2718.0,2745.0,2783.0,2797.0,2792.0,2782.0,2810.0,2807.0,2804.0,,0.453547504760612,1862437.3442857144,231679.92714285717,155352.45142857142
Región Llano,50,Meta,50006,Acacias,,,0.0060233558696988,0.0007375537799631,0.0007375537799631,0.0010448678549477,0.0008604794099569,0.0234173325138291,0.0011677934849416,0.0221880762138905,0.0259987707437,0.6305470190534727,0.126859250153657,0.0080516287645974,0.0577135832821143,0.0946527350952673,0.0007131214343928,0.0023940505297473,0.0009168704156479,0.0025468622656886,0.016860228198859,0.0151283618581907,0.7356356968215159,0.0100346373268133,0.1721169519152404,0.0436532192339038,0.0003806623524933,0.0013323182337266,0.000799390940236,0.0132851161020175,0.00171298058622,0.0684430909783022,0.0099733536353254,0.0114198705748001,0.131480776551199,0.0371145793681004,0.6911686334221545,0.0328892272554244,0.0019962470555355,0.0191639717331416,0.0126162813909849,0.1602986385595081,0.8059248612608296,0.102306571193207,0.2067042646220138,0.0018693365439452,0.0441353526392497,0.0488879031747037,0.0513592294531398,0.1052214688549521,0.4395158735187884,0.0018874242747115,0.0352826570063015,0.0473073761758348,0.2332491095619349,0.6822734329812171,0.0076215261641416,0.0018589088205223,0.001975090621805,0.0055070173807974,0.0297657774886141,0.021725996839855,0.02765126870527,0.1396040524212287,0.5100613439910773,0.2527418905102704,0.0007210671794255,0.0465328686455954,0.0284821535873092,0.2758322317029203,0.6484316788847494,0.0013860157219693,,,,0.0168804302854778,0.0003723624327678,,,0.0130119983450558,0.0005585436491518,0.0176251551510136,0.1120190318576748,0.2465659908978072,0.0004344228382292,0.5742242449317335,0.0169218038891187,,,0.0194779898714452,0.0006766038586923,0.0221639021589814,0.3247493490250753,0.6329321550858057,0.0634156239431856,0.0528335892130031,0.1087065209627883,0.1792150140840833,True,0.1792150140840833,True,,,,,,,,,,,,,,,,,,low,0.0,low,0.0,low,0.0,low,0.0,medium,0.0,low,0.0,high,1.0,low,0.0,low,0.0,low,0.0,0.0,0.0,0.0,low,0.0,88028.0,6294.0,7392.0,20381.0,0.0715,0.084,0.2315,10.4121,0.8753,0.5728,0.6057,0.4913,3.2798,2.534,0.2173,0.3196,0.4632,88028.0,90779.0,93760.0,96064.0,98080.0,100048.0,102025.0,103943.0,105704.0,,0.9276917668181454,1138033.5385714285,47039.86142857144,406158.4385714285
Región Pacífico,27,Chocó,27006,Acandí,,,0.0072992700729927,,0.0028074115665356,,0.0005614823133071,0.0061763054463784,0.0056148231330713,0.0072992700729927,0.0056148231330713,0.1903425042111173,0.7405951712521056,0.0005614823133071,0.008983717012914,0.0241437394722066,0.0047008547008547,0.0098290598290598,0.0025641025641025,0.0094017094017094,0.0081196581196581,0.0106837606837606,0.7192307692307692,0.0,0.0329059829059829,0.2025641025641025,0.0027047913446676,0.0023183925811437,0.0050231839258114,0.0436630602782071,0.0042503863987635,0.0525502318392581,0.0119783616692426,0.0104327666151468,0.1267387944358578,0.0181607418856259,0.6862442040185471,0.0359350850077279,0.003101977510663,0.0189996122528111,0.0038774718883288,0.1128344319503683,0.8611865063978286,0.0204700530705079,0.0405610310841546,0.0037907505686125,0.0212282031842304,0.013267626990144,0.0200909780136467,0.6398786959818044,0.2407126611068991,0.0053444180522565,0.0136579572446555,0.007125890736342,0.6953681710213777,0.2785035629453681,0.022597167821633,0.003012955709551,0.0063272069900572,0.003012955709551,0.1554685146128352,0.0228984633925881,0.0111479361253389,0.2627297378728532,0.4823742090991262,0.0301295570955106,0.0032689450222882,0.0216939078751857,0.0095096582466567,0.3655274888558692,0.6,0.0025361399949277,,,,0.0027897539944204,0.0005072279989855,,,0.0240933299518133,0.0048186659903626,0.0114126299771747,0.3091554653816891,0.5257418209485164,0.001014455997971,0.0991630738016738,0.0187674359624651,,,0.020174232003668,0.0032095369096744,0.0087116001834021,0.5907840440165062,0.3771205868867492,0.3644481190574618,0.3187471211423308,0.4177714080974561,0.2805305637460625,True,0.2805305637460625,True,,,,,,,,,,,,,,,,,,low,0.0,low,0.0,medium,0.0,low,0.0,low,0.0,low,0.0,low,0.0,medium,0.0,low,0.0,low,0.0,0.0,0.0,0.0,low,0.0,13988.0,2436.0,1199.0,5747.0,0.1741,0.0857,0.4108,9.0256,0.7841,0.3597,0.5591,0.512,3.4785,3.9582,0.2838,0.3551,0.3611,13988.0,14371.0,14793.0,15086.0,15373.0,15650.0,15963.0,16200.0,16455.0,,0.5663858320641232,1231663.5157142857,95025.15857142858,111741.89285714286
Región Centro Sur,41,Huila,41006,Acevedo,,,0.0036918533103618,0.0039379768643859,0.002215111986217,0.0027073590942653,0.0007383706620723,0.0093526950529165,0.0036918533103618,0.0174747723357125,0.022643366970219,0.5980802362786118,0.1781934531134629,0.0036918533103618,0.0391336450898351,0.1144474526212158,0.0017630465444287,0.005641748942172,0.0012341325811001,0.0045839210155148,0.0086389280677009,0.0089915373765867,0.8871650211565585,0.0015867418899858,0.0564174894217207,0.0239774330042313,0.0014475588893275,0.0015791551519936,0.0082905645479668,0.0061850243453085,0.0026319252533228,0.0186866692985919,0.0088169495986313,0.0067114093959731,0.0423739965784971,0.0168443216212659,0.8369522305566522,0.0494801947624687,0.0022144066692718,0.0126351439364335,0.0058616647127784,0.044548651817116,0.9347401328644002,0.0587184639428443,0.0591649921857557,0.0040187541862022,0.0114981022549676,0.0109399419513284,0.0120562625586068,0.0312569770037954,0.8123465059164993,0.0044065254078379,0.0115319707481717,0.0087192949559347,0.0628164260266266,0.9125257828614288,0.0057529924839936,0.0016702236243852,0.0029692864433515,0.0012062726176115,0.0164238656397884,0.0090006495314094,0.0080727475178621,0.0821193281989421,0.8246265194395472,0.0469518418854968,0.0010541110330288,0.0131763879128601,0.0046556570625439,0.1002283907238229,0.8808854532677443,0.0017189514396218,,,,0.013149978513107,0.0001718951439621,,,0.0091963902019767,0.001031370863773,0.0070477009024495,0.1333046841426729,0.1449076063601203,0.0006875805758487,0.6796733992264719,0.0091104426299957,,,0.011472128118263,0.0006929473360024,0.0066214967662457,0.1894056051740067,0.791807822605482,0.1933067339793176,0.1334063526834611,0.2069810471570735,0.200485645603982,True,0.200485645603982,True,,,,,,,,,,,,,,,,,,medium,0.0,medium,0.0,high,1.0,low,0.0,medium,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,0.0,0.0,0.0,low,0.0,24777.0,1308.0,2335.0,7799.0,0.0528,0.0942,0.3148,10.1432,0.842,0.4918,0.6,0.5039,2.9824,3.7883,0.2354,0.3469,0.4177,24777.0,24993.0,25228.0,25435.0,25619.0,25768.0,25976.0,26133.0,26282.0,,0.6561810322842814,1071889.14,47235.73,80242.34999999999
Región Caribe,13,Bolívar,13006,Achí,,,0.0086835706842653,0.0006946856547412,0.0027787426189649,0.0034734282737061,0.0003473428273706,0.0052101424105592,0.006252170892671,0.006252170892671,0.0059048280653004,0.2268148662730114,0.7023271969433831,0.0020840569642236,0.0097255991663772,0.0194511983327544,0.0024714828897338,0.0051330798479087,0.0017110266159695,0.0022813688212927,0.0039923954372623,0.0047528517110266,0.8726235741444867,0.0017110266159695,0.0461977186311787,0.0591254752851711,0.0015176809834572,0.0009106085900743,0.0006070723933829,0.013355592654424,0.0025800576718773,0.0244346638336621,0.002731825770223,0.0034906662619517,0.035665503111246,0.0412809227500379,0.8621945667020792,0.0112308392775838,0.0030919446704637,0.0105777054515866,0.0029292107404393,0.0494711147274206,0.9339300244100897,0.0269090909090909,0.022,0.0054545454545454,0.0103636363636363,0.0069090909090909,0.011090909090909,0.2065454545454545,0.7107272727272728,0.0041322314049586,0.006198347107438,0.0044077134986225,0.2651515151515151,0.7201101928374656,0.0073050869969451,0.0035861336166821,0.0005312790543232,0.0030548545623588,0.0377208128569531,0.0030548545623588,0.0049143312524903,0.1281710718554921,0.7908088723602072,0.0200557843007039,0.001312492542656,0.0058465576900131,0.0029829375969454,0.1425844171339935,0.8472735950363919,0.0049792531120331,,,,0.0217150760719225,0.0008298755186721,,,0.0078838174273858,0.0023513139695712,0.0037344398340248,0.51134163208852,0.2141078838174273,0.0011065006915629,0.2099585062240664,0.0219917012448132,,,0.0085686700458604,0.0012068549360366,0.002534395365677,0.298817282162684,0.6888727974897417,0.5591603053435114,0.3446656229031536,0.6257903147363302,0.2137851743689069,True,0.2137851743689069,True,,,,,,,,,,,,,,,,,,medium,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,high,1.0,low,0.0,0.0,0.0,0.0,low,0.0,24354.0,3180.0,4457.0,10743.0,0.1306,0.183,0.4411,8.4274,0.7181,0.4169,0.6179,0.5019,2.7737,3.6273,0.2648,0.3319,0.4033,24354.0,24967.0,25651.0,26181.0,26642.0,27083.0,27507.0,27912.0,28305.0,,0.4001956047751857,1141205.9085714284,67859.05142857143,50538.36714285715
Región Centro Sur,41,Huila,41013,Agrado,,,0.0025575447570332,0.0,0.0010960906101571,0.0018268176835951,0.000730727073438,0.0076726342710997,0.0014614541468761,0.0091340884179758,0.0182681768359517,0.5235659481183778,0.3653635367190354,0.000730727073438,0.0233832663500182,0.0442089879430032,0.0008058017727639,0.0056406124093473,0.0004029008863819,0.0044319097502014,0.0165189363416599,0.0040290088638195,0.717163577759871,0.0052377115229653,0.1087832393231265,0.136986301369863,0.0011764705882352,0.0019607843137254,0.000392156862745,0.0788235294117647,0.0039215686274509,0.0776470588235294,0.0141176470588235,0.0054901960784313,0.0901960784313725,0.0278431372549019,0.5313725490196078,0.1670588235294117,0.0039398280802292,0.0315186246418338,0.0157593123209169,0.1174785100286533,0.8313037249283668,0.0835197613721103,0.3035048471290082,0.0055928411633109,0.0458612975391498,0.0246085011185682,0.0257270693512304,0.1737509321401938,0.337434750186428,0.0049289649173673,0.030443606842563,0.015656712090461,0.2635546535227602,0.6854160626268484,0.0324658593146096,0.0002576655501159,0.0038649832517392,0.0012883277505797,0.1077041999484668,0.0123679464055655,0.0082452976037103,0.1239371296057717,0.5936614274671477,0.1146611698015975,0.0017889087656529,0.0319447993866598,0.0097112190135445,0.2254025044722719,0.7311525683618707,0.0013020833333333,,,,0.0190972222222222,0.0002170138888888,,,0.0121527777777777,0.0008680555555555,0.0073784722222222,0.2471788194444444,0.2165798611111111,0.0002170138888888,0.4837239583333333,0.0112847222222222,,,0.0129629629629629,0.0006172839506172,0.0109053497942386,0.2903292181069959,0.6851851851851852,0.1832595010491956,0.1755793226381461,0.1977762803234501,0.200485645603982,True,0.200485645603982,True,,,,,,,,,,,,,,,,,,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,0.0,0.0,0.0,low,0.0,8804.0,606.0,862.0,2220.0,0.0689,0.0979,0.2522,10.201,0.8603,0.508,0.6171,0.4947,3.5426,3.8137,0.2842,0.3112,0.4046,8804.0,8897.0,8992.0,9095.0,9147.0,9209.0,9282.0,9337.0,9401.0,,0.5295009246774609,1477762.5585714283,116135.28,123433.35571428572
Región Centro Oriente,25,Cundinamarca,25001,Agua de Dios,,,0.0061220181549503,0.0004222081486172,0.0002111040743086,0.0014777285201604,0.0008444162972345,0.0056998100063331,0.0029554570403208,0.0162550137217648,0.0183660544648511,0.3706987544859615,0.4471184293856871,0.008021954823728,0.0705087608190838,0.0512982900569981,0.0025934730927166,0.0099416468554138,0.0010806137886319,0.0030257186081694,0.0140479792522152,0.0108061378863194,0.5424681218932353,0.0075642965204236,0.229738491463151,0.1787335206397233,0.0008568980291345,0.0027849185946872,0.0019280205655526,0.0831191088260497,0.0029991431019708,0.0946872322193659,0.0134961439588688,0.0179948586118251,0.2305055698371893,0.0574121679520137,0.4053127677806341,0.0889031705227078,0.0024112231477422,0.0267426567295046,0.0197281893906181,0.2963612450679526,0.6547566856641823,0.1262114041018706,0.1593418976786116,0.0040567951318458,0.0502591841334234,0.0270453008789722,0.0320036060401172,0.3727743971151679,0.228307414919991,0.0034668721109399,0.0283127889060092,0.024075500770416,0.5729969183359014,0.3711479198767334,0.0362684951281125,0.0014435221941537,0.0030674846625766,0.0034283652111151,0.1860339227715626,0.021652832912306,0.014976542764345,0.1964994586791772,0.3370624323348971,0.1974016600505233,0.0011088523378303,0.0419515801145814,0.0208833856958048,0.3910552578081685,0.5450009240436149,0.0008658008658008,,,,0.0107359307359307,,,,0.0174891774891774,0.0019047619047619,0.0121212121212121,0.2228571428571428,0.3236363636363636,0.0005194805194805,0.3774891774891775,0.0323809523809523,,,0.0198900388098318,0.0008085381630012,0.0130983182406209,0.3903622250970245,0.5758408796895214,0.0807983878706458,0.0687537627934979,0.1280718336483932,0.1589957001992672,True,0.1589957001992672,True,,,,,,,,,,,,,,,,,,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,0.0,0.0,0.0,low,0.0,11687.0,957.0,634.0,2808.0,0.0818,0.0542,0.2402,10.4315,0.9173,0.5135,0.6261,0.5093,3.6279,3.5969,0.2371,0.3755,0.3874,11687.0,11730.0,11783.0,11818.0,11824.0,11821.0,11820.0,11838.0,11818.0,,0.726984551943313,1088991.9571428571,68738.12571428572,182540.11571428573
Región Caribe,20,Cesar,20011,Aguachica,,,0.0055631363493229,0.0005248241838983,0.0006822714390679,0.0008397186942374,0.0003673769287288,0.0028865330114411,0.001626954970085,0.0131206045974598,0.0220426157237325,0.3580350582554844,0.4890836569749134,0.0046709352366957,0.0276582344914453,0.0728980791434869,0.0012705882352941,0.0033882352941176,0.0007529411764705,0.0023058823529411,0.013835294117647,0.0099294117647058,0.6675294117647059,0.0023529411764705,0.1437176470588235,0.1549176470588235,0.0008728652751423,0.0007590132827324,0.0008728652751423,0.0285768500948766,0.0018216318785578,0.047931688804554,0.0141555977229601,0.0099810246679316,0.0861859582542694,0.1142314990512333,0.6564705882352941,0.0381404174573055,0.0019437857170625,0.0267853671811219,0.0160945457372779,0.1442289002060413,0.8109474011584963,0.0919033692560394,0.089619806898762,0.0029245623172148,0.0360963102439806,0.0231160610552461,0.0400224349985978,0.3185769800889387,0.3977404751412203,0.0014291040139182,0.0247918478936249,0.019572511494967,0.463899589909283,0.4903069466882068,0.0051328051029052,0.002117905018189,0.0019684058404345,0.0026660686699556,0.0399661135197089,0.0101908606169332,0.0180395674490456,0.1821896646235112,0.5940100662779688,0.1424228833408083,0.0011285832518245,0.0261329721866927,0.0167531913826398,0.2670729566373235,0.6889122965415193,0.00172622935523,,,,0.0298824297844546,0.0002799290846318,,,0.0117103667071008,0.0007698049827377,0.0126901185033124,0.1421339927218438,0.2598441728095549,0.0004198936269478,0.5260567322944854,0.0144863301297004,,,0.0151045268958747,0.0006023961982106,0.0143236429352312,0.3345753106802615,0.6353941232904219,0.1879474190982543,0.1605319288378356,0.385826094435366,0.2079822727349517,True,0.2079822727349517,True,,,,,,,,,,,,,,,,,,high,1.0,extreme,1.0,low,0.0,low,0.0,low,0.0,high,1.0,low,0.0,low,0.0,low,0.0,low,0.0,0.0,0.0,0.0,low,0.0,109616.0,11350.0,10087.0,30400.0,0.1035,0.092,0.2773,9.8405,0.8106,0.4713,0.6081,0.5019,3.5729,3.2897,0.2807,0.3382,0.3811,109616.0,114220.0,119365.0,123137.0,126214.0,129255.0,132237.0,135087.0,137624.0,,0.8972238684644319,709137.1142857142,15583.855714285715,124201.22571428573
